product_id,comment,comment_clean,rating,positive,negative
honor-x8b,máy sao cũng được ghét nhất cái zalo vui nó báo hiện tên cuộc gọi,máy ghét zalo vui báo hiện cuộc_gọi,3,0,1
honor-x8b,chiếc điện thoại mỏng nhất tôi từng dùng cũng là chip trên máy này mượt hơn,điện_thoại mỏng chip máy mượt,5,1,0
honor-x8b,sao hôm tôi mua lại không được tặng tai nghe như trong giới thiệu nhỉ hôm đấy,hôm mua không tặng tai giới_thiệu hôm đấy,4,0,0
honor-x8b,em mua được tuần trả lại mất bao nhiêu ạ,mua tuần trả bao nhiêu,3,0,0
honor-x8b,thế giới di động có cường lực của honor không ạ,thế_giới di_động cường_lực honor không,4,0,0
honor-x8b,không có nhưng rất tiếc honor quá lạc hậu so với nhiều hãng hiệu năng tạm,không tiếc honor lạc_hậu hãng hiệu_năng tạm,4,0,1
honor-x8b,tốt nhưng máy này có phím ảo sao màn hình vậy,tốt máy phím ảo màn_hình,5,1,0
honor-x8b,máy này không có hổ trợ thẻ nhớ ngoài hả store,máy không hổ trợ thẻ_nhớ hả store,4,0,0
honor-x8b,chọn màu tối ưu tốt thật thiết kế đẹp bộ nhớ cao thao,màu tối_ưu tốt thiết_kế đẹp bộ_nhớ thao,5,1,0
honor-x8b,nhanh hết pin sạc đầy pin để ngày không dùng gì mà pin gần,nhanh hết pin sạc pin không pin,3,0,1
honor-x8b,mới mua được tuần có đổi trả được không ạ,mới mua tuần đổi trả không,3,0,0
honor-x8b,máy ok dùng rất thích chụp hình đẹp với cái giá hơn 6tr thì,máy ok chụp hình đẹp giá,5,1,0
honor-x8b,máy mới dùng mà loa bị rè nghe không rõ lỗi do điện thoại,máy mới loa rè không lỗi điện_thoại,3,0,1
honor-x8b,mọi thứ đều ok nha chức năng ổn áp lắm điểm trừ duy nhất là quay,ok nha chức_năng ổn_áp lắm điểm trừ duy_nhất,4,1,1
